VMDProductNo,Name,MAHolder,Distributors,VMNo,DateOfIssue,AuthorisationRoute,Territory,ActiveSubstances,ControlledDrug,TargetSpecies,DistributionCategory,PharmaceuticalForm,TherapeuticGroup,SPC_Link,UKPAR_Link,PAAR_Link
A011605,"Comfortan 10 mg/ml, Solution for Injection for Dogs and Cats",Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Ltd</span>,16849/3005,2011-03-30,Mutually Recognised,Northern Ireland,Methadone Hydrochloride,2,"Cats, Dogs",POM-V,Solution for injection,Neurological Agent analgesic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2480547.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1987297.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2480579.PDF
A011615,"CTC Spray 78.6 mg/g, Cutaneous Spray, Suspension for Pigs, Sheep and Cattle",Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/3006,2015-12-14,Mutually Recognised,Northern Ireland,Chlortetracycline Hydrochloride,N,"Cattle, Pigs, Sheep",POM-V,"Cutaneous spray, suspension",Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2533534.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_936818.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2533547.PDF
A012086,Methoxasol 20/100 mg/ml Solution for Use in Drinking Water for Pigs and Chickens,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/3007,2012-09-04,Mutually Recognised,Northern Ireland,"Sulfamethoxazole, Trimethoprim",N,"Chickens, Pigs",POM-V,Oral solution,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2539153.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1989687.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2539170.PDF
A012085,Metaxol 20/100 mg/ml Solution for Use in Drinking Water for Pigs and Chickens,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/3008,2016-07-07,Mutually Recognised,Northern Ireland,"Sulfamethoxazole, Trimethoprim",N,"Chickens, Pigs",POM-V,Oral solution,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2593036.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1989682.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2593054.PDF
A011622,"Cyclosol LA, 200 mg/ml Solution for Injection",Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/3009,2002-04-24,Mutually Recognised,Northern Ireland,Oxytetracycline,N,"Cattle, Pigs",POM-V,Solution for injection,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2606906.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2606918.PDF
A012144,Myorelax 100 mg/ml Solution for Infusion for Horses,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/3010,2012-08-31,Mutually Recognised,Northern Ireland,Guaifenesin,N,Horses,POM-V,Solution for infusion,Neurological Agent muscle relaxant,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2575955.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1989894.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2575968.PDF
A011655,"Diatrim 200 mg/ml + 40 mg/ml solution for injection for cattle, pigs, dogs and cats",Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/3011,2018-02-08,Mutually Recognised,Northern Ireland,"Sulfadiazine, Trimethoprim",N,"Cats, Cattle, Dogs, Pigs",POM-V,Solution for injection,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2620479.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1332534.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2620495.PDF
A005872,"Sedaxylan 20 mg/ml Solution for Injection for Dogs, Cats, Horses and Cattle",Eurovet Animal Health B.V.,<span>Eurovet Animal Health BV</span>,16849/4001,2003-07-04,National,Great Britain,Xylazine,N,"Cats, Cattle, Dogs, Horses",POM-V,Solution for injection,Neurological Agent sedative,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_182528.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_586345.PDF
A012447,"Sedaxylan 20 mg/ml Solution for Injection for Dogs, Cats, Horses and Cattle",Eurovet Animal Health B.V.,<span>Eurovet Animal Health BV</span>,16849/4001,2003-07-04,Mutually Recognised,Northern Ireland,Xylazine,N,"Cats, Cattle, Dogs, Horses",POM-V,Solution for injection,Neurological Agent sedative,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_182528.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_586345.PDF
A005918,"Cyclo Spray, Chlortetracycline HCI 2.45% w/w, Cutaneous Spray, Suspension for Pigs, Sheep and Cattle",Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4002,2006-08-14,National,United Kingdom,Chlortetracycline Hydrochloride,N,"Cattle, Pigs, Sheep",POM-V,"Cutaneous spray, suspension",Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_161897.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_333445.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_260736.PDF
A005976,Octacillin 697 mg/g Powder for Use in Drinking Water for Chickens,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Ltd</span>,16849/4004,2004-09-06,National,Great Britain,Amoxicillin,N,Chickens,POM-V,Powder for use in drinking water ,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_113806.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_137509.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_261151.PDF
A012213,Octacillin 697 mg/g Powder for Use in Drinking Water for Chickens,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Ltd</span>,16849/4004,2004-09-06,Mutually Recognised,Northern Ireland,Amoxicillin,N,Chickens,POM-V,Powder for use in drinking water ,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_113806.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_137509.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_261151.PDF
A006448,Rapidexon 2 mg/ml Solution for Injection,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Ltd </span>,16849/4007,2006-02-21,National,Great Britain,Dexamethasone,N,"Cats, Cattle, Dogs, Horses, Pigs",POM-V,Solution for injection,Anti Inflammatory corticosteroid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_206432.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_278083.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_260770.PDF
A012404,Rapidexon 2 mg/ml Solution for Injection,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Ltd </span>,16849/4007,2006-02-21,Mutually Recognised,Northern Ireland,Dexamethasone,N,"Cats, Cattle, Dogs, Horses, Pigs",POM-V,Solution for injection,Anti Inflammatory corticosteroid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_206432.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_278083.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_260770.PDF
A006852,Domidine 10 mg/ml Solution for Injection for Horses and Cattle,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4008,2006-12-06,National,Great Britain,Detomidine Hydrochloride,N,"Cattle, Horses",POM-V,Solution for injection,Neurological Agent sedative,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_165177.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1983180.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_315251.PDF
A011667,Domidine 10 mg/ml Solution for Injection for Horses and Cattle,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4008,2006-12-06,Mutually Recognised,Northern Ireland,Detomidine Hydrochloride,N,"Cattle, Horses",POM-V,Solution for injection,Neurological Agent sedative,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_165177.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1983180.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_315251.PDF
A006843,Sedator 1.0 mg/ml Solution for Injection for Cats and Dogs,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4009,2007-03-21,National,Great Britain,Medetomidine Hydrochloride,N,"Cats, Dogs",POM-V,Solution for injection,Neurological Agent sedative,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_178042.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_425208.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_425215.PDF
A012446,Sedator 1.0 mg/ml Solution for Injection for Cats and Dogs,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4009,2007-03-21,Mutually Recognised,Northern Ireland,Medetomidine Hydrochloride,N,"Cats, Dogs",POM-V,Solution for injection,Neurological Agent sedative,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_178042.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_425208.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_425215.PDF
A007112,"Atipam 5.0 mg/ml, Solution for Injection for Cats and Dogs",Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4011,2008-03-04,National,Great Britain,Atipamezole Hydrochloride,N,"Cats, Dogs",POM-V,Solution for injection,Neurological Agent,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_205290.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_207160.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_260388.PDF
A011391,"Atipam 5.0 mg/ml, Solution for Injection for Cats and Dogs",Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4011,2008-03-04,Mutually Recognised,Northern Ireland,Atipamezole Hydrochloride,N,"Cats, Dogs",POM-V,Solution for injection,Neurological Agent,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_205290.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_207160.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_260388.PDF
A007694,Soludox 500 mg/g Powder for Use in Drinking Water for Pigs and Chickens,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Ltd</span>,16849/4015,2011-09-07,National,Great Britain,Doxycycline Hyclate,N,"Chickens, Pigs",POM-V,Powder for use in drinking water,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_293486.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1306875.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_431749.PDF
A012489,Soludox 500 mg/g Powder for Use in Drinking Water for Pigs and Chickens,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Ltd</span>,16849/4015,2011-09-07,Mutually Recognised,Northern Ireland,Doxycycline Hyclate,N,"Chickens, Pigs",POM-V,Powder for use in drinking water ,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_293486.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1306875.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_431749.PDF
A012670,Vomend 5 mg/ml Solution for Injection for Dogs and Cats,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4020,2010-12-20,Mutually Recognised,Northern Ireland,Metoclopramide Hydrochloride,N,"Cats, Dogs",POM-V,Solution for injection,Gastrointestinal anti-emetic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_304576.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1995643.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_486493.PDF
A007848,Vomend 5 mg/ml Solution for Injection for Dogs and Cats,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4020,2010-12-20,National,Great Britain,Metoclopramide Hydrochloride,N,"Cats, Dogs",POM-V,Solution for injection,Gastrointestinal anti-emetic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_304576.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1995643.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_486493.PDF
A007827,Bovocycline Pessary 2000 mg Intrauterine Tablet for Cattle ,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Ltd</span>,16849/4021,2011-06-03,National,Great Britain,Tetracycline Hydrochloride,N,Cattle,POM-V,Intrauterine tablet,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_317664.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_498724.PDF
A011466,Bovocycline Pessary 2000 mg Intrauterine Tablet for Cattle ,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Ltd</span>,16849/4021,2011-06-03,Mutually Recognised,Northern Ireland,Tetracycline Hydrochloride,N,Cattle,POM-V,Intrauterine tablet,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_317664.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_498724.PDF
A011500,Cardisure Flavoured 1.25 mg Tablets for Dogs,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4026,2011-08-09,Mutually Recognised,Northern Ireland,Pimobendan,N,Dogs,POM-V,Tablet,Cardio Vascular,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_321900.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_336177.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_448333.PDF
A008037,Cardisure Flavoured 1.25 mg Tablets for Dogs,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4026,2011-08-09,National,Great Britain,Pimobendan,N,Dogs,POM-V,Tablet,Cardio Vascular,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_321900.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_336177.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_448333.PDF
A008038,Cardisure Flavoured 2.5 mg Tablets for Dogs,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4027,2011-08-09,National,Great Britain,Pimobendan,N,Dogs,POM-V,Tablet,Cardio Vascular,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_321909.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_336177.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_448347.PDF
A011502,Cardisure Flavoured 2.5 mg Tablets for Dogs,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4027,2011-08-09,Mutually Recognised,Northern Ireland,Pimobendan,N,Dogs,POM-V,Tablet,Cardio Vascular,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_321909.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_336177.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_448347.PDF
A011503,Cardisure Flavoured 5 mg Tablets for Dogs,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4028,2011-08-09,Mutually Recognised,Northern Ireland,Pimobendan,N,Dogs,POM-V,Tablet,Cardio Vascular,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_321912.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_336177.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_448348.PDF
A008039,Cardisure Flavoured 5 mg Tablets for Dogs,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4028,2011-08-09,National,Great Britain,Pimobendan,N,Dogs,POM-V,Tablet,Cardio Vascular,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_321912.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_336177.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_448348.PDF
A008040,Cardisure Flavoured 10 mg Tablets for Dogs,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4029,2011-08-09,National,Great Britain,Pimobendan,N,Dogs,POM-V,Tablet,Cardio Vascular,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_321906.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_336177.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_448344.PDF
A011501,Cardisure Flavoured 10 mg Tablets for Dogs,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4029,2011-08-09,Mutually Recognised,Northern Ireland,Pimobendan,N,Dogs,POM-V,Tablet,Cardio Vascular,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_321906.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_336177.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_448344.PDF
A012214,Octacillin 697 mg/g Powder for Use in Drinking Water for Pigs ,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4030,2010-12-20,Mutually Recognised,Northern Ireland,Amoxicillin,N,Pigs,POM-V,Powder for use in drinking water ,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_305724.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_405956.PDF
A008052,Octacillin 697 mg/g Powder for Use in Drinking Water for Pigs ,Eurovet Animal Health B.V.,<span>Dechra Veterinary Products Limited</span>,16849/4030,2010-12-20,National,Great Britain,Amoxicillin,N,Pigs,POM-V,Powder for use in drinking water ,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_305724.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_405956.PDF
